"State","Year","Overweight Adults (%)"
"OH",2017,24.9
"IA",2019,24.9
"NY",2012,24.9
"VA",2015,24.9
"AZ",2012,24.9
"MN",2011,24.9
"MA",2011,24.9
"MI",2022,24.9
"MI",2022,24.9
"OR",2022,24.9
"RI",2022,24.9
"UT",2018,25
"KY",2018,25
"FL",2020,25
"NH",2012,25
"UT",2013,25
"IA",2019,25
"AR",2015,25
"SC",2019,25
"WV",2012,25
"ND",2012,25
"VA",2012,25
"NM",2015,25
"ID",2013,25
"IN",2012,25
"WA",2012,25
"FL",2016,25
"OH",2016,25
"WV",2016,25
"LA",2021,25
"ID",2021,25
"OK",2018,25.1
"WA",2017,25.1
"AR",2020,25.1
"IA",2017,25.1
"MI",2017,25.1
"VT",2017,25.1
"KY",2017,25.1
"AL",2015,25.1
"MI",2014,25.1
"CT",2015,25.1
"NY",2015,25.1
"ID",2016,25.1
"IN",2016,25.1
"KY",2021,25.1
"LA",2022,25.1
"MO",2018,25.2
"CO",2018,25.2
"AZ",2020,25.2
"DE",2020,25.2
"NC",2017,25.2
"SC",2013,25.2
"NH",2013,25.2
"IN",2014,25.2
"CT",2017,25.2
"NY",2014,25.2
"MN",2015,25.2
"CT",2014,25.2
"KY",2011,25.2
"OH",2012,25.2
"TX",2016,25.2
"AZ",2016,25.2
"CO",2016,25.2
"IN",2021,25.2
"VA",2021,25.2
"SC",2021,25.2
"SD",2021,25.2
"OH",2022,25.2
"NE",2018,25.3
"NE",2018,25.3
"MN",2018,25.3
"LA",2016,25.3
"ND",2011,25.3
"IN",2013,25.3
"RI",2015,25.3
"AR",2019,25.3
"OK",2014,25.3
"AR",2019,25.3
"DE",2013,25.3
"MD",2014,25.3
"MT",2011,25.3
"VT",2016,25.3
"IN",2021,25.3
"FL",2022,25.3
"MS",2022,25.3
"OH",2020,25.4
"PA",2020,25.4
"TX",2020,25.4
"IL",2016,25.4
"AR",2020,25.4
"NM",2017,25.4
"MS",2017,25.4
"KY",2012,25.4
"NH",2013,25.4
"ND",2015,25.4
"WI",2011,25.4
"KY",2017,25.4
"VT",2019,25.4
"IL",2011,25.4
"CO",2019,25.4
"HI",2013,25.4
"WV",2012,25.4
"MD",2012,25.4
"OH",2012,25.4
"FL",2015,25.4
"AK",2016,25.4
"MN",2016,25.4
"IA",2016,25.4
"IN",2021,25.4
"CA",2022,25.4
"KY",2022,25.4
"MI",2022,25.4
"LA",2018,25.5
"HI",2017,25.5
"VT",2019,25.5
"VA",2015,25.5
"ND",2016,25.5
"NY",2016,25.5
"NJ",2021,25.5
"MN",2021,25.5
"VA",2018,25.6
"WA",2018,25.6
"AL",2020,25.6
"MS",2020,25.6
"MT",2020,25.6
"WI",2017,25.6
"WY",2013,25.6
"OR",2013,25.6
"IA",2019,25.6
"IA",2011,25.6
"WI",2014,25.6
"UT",2012,25.6
"KS",2015,25.6
"MN",2013,25.6
"NC",2012,25.6
"IL",2016,25.6
"ME",2021,25.6
"IN",2021,25.6
"CT",2022,25.6
"IL",2022,25.6
"VT",2022,25.6
"TX",2020,25.7
"AR",2020,25.7
"ND",2020,25.7
"IN",2020,25.7
"KY",2017,25.7
"TN",2017,25.7
"WI",2013,25.7
"NH",2017,25.7
"OR",2011,25.7
"IA",2017,25.7
"NV",2014,25.7
"OH",2019,25.7
"WA",2014,25.7
"GA",2019,25.7
"DE",2013,25.7
"PA",2014,25.7
"VA",2021,25.7
"VT",2021,25.7
"GA",2022,25.7
"KY",2022,25.7
"MS",2022,25.7
"NE",2018,25.8
"KY",2018,25.8
"TN",2020,25.8
"UT",2017,25.8
"SD",2012,25.8
"WI",2014,25.8
"OR",2019,25.8
"UT",2019,25.8
"UT",2013,25.8
"IL",2019,25.8
"NE",2013,25.8
"UT",2015,25.8
"VA",2016,25.8
"TN",2021,25.8
"VA",2021,25.8
"AK",2021,25.8
"ME",2021,25.8
"MS",2021,25.8
"FL",2022,25.8
"OK",2022,25.8
"OH",2016,25.9
"MO",2018,25.9
"UT",2018,25.9
"MO",2018,25.9
"RI",2020,25.9
"OK",2020,25.9
"IN",2013,25.9
"WY",2019,25.9
"PA",2013,25.9
"OK",2014,25.9
"IA",2016,25.9
"HI",2021,25.9
"NM",2021,25.9
"WV",2021,25.9
"HI",2021,25.9
"NV",2021,25.9
"LA",2022,25.9
"ME",2022,25.9
"MN",2022,25.9
"WA",2022,25.9
"ME",2020,26
"AR",2018,26
"NC",2020,26
"OK",2017,26
"PA",2017,26
"SC",2013,26
"MO",2015,26
"HI",2011,26
"NY",2017,26
"KS",2011,26
"IN",2019,26
"NE",2012,26
"OR",2012,26
"NC",2016,26
"RI",2016,26
"IL",2016,26
"FL",2016,26
"AR",2021,26
"UT",2016,26.1
"AK",2017,26.1
"VA",2012,26.1
"NJ",2015,26.1
"VA",2019,26.1
"CO",2014,26.1
"NH",2015,26.1
"MN",2013,26.1
"WY",2014,26.1
"UT",2012,26.1
"CT",2013,26.1
"KY",2013,26.1
"MA",2013,26.1
"TN",2015,26.1
"NE",2011,26.1
"WI",2012,26.1
"NJ",2015,26.1
"ME",2016,26.1
"MA",2016,26.1
"MO",2021,26.1
"DE",2021,26.1
"CO",2021,26.1
"PA",2021,26.1
"MS",2022,26.1
"NC",2022,26.1
"IN",2018,26.2
"OH",2018,26.2
"AR",2018,26.2
"MT",2020,26.2
"GA",2020,26.2
"IA",2014,26.2
"KS",2012,26.2
"MD",2013,26.2
"CT",2012,26.2
"IA",2015,26.2
"DE",2019,26.2
